Title,Organization,Level,Ratings,Short Description,Skills,Completion Time,Instructor,Cost,Link
IBM DevOps and Software Engineering,IBM,Beginner,4.6,"Summary:
This course focuses on developing a DevOps mindset, practicing Agile philosophy, and Scrum methodology in the era of Cloud Native Software Engineering. Students will create applications using Python with various programming constructs, functions, REST APIs, and libraries. They will also learn to build applications with microservices and deploy using containers such as Docker, Kubernetes, and OpenShift, as well as serverless technologies. Additionally, students will be taught to use tools for automation, continuous integration, and continuous deployment. Some of the tools covered include Chef, Puppet, GitHub Actions, Tekton, and Travis."," DevOps, Software Engineering, Cloud Computing, Computer Programming, Application Development, Software Architecture, Cloud Applications, Continuous Delivery, Continuous Integration, Python Programming, Software Engineering Tools, Software Testing, Agile Software Development, Security Engineering, Cloud Infrastructure, Kubernetes, Programming Principles, Cloud-Based Integration, Microarchitecture, Cloud Platforms, Communication, IBM Cloud, Scrum (Software Development), Software Security, Systems Design, Distributed Computing Architecture, Cloud Storage, Docker (Software), Linux, User Experience Design, Collaboration, Leadership and Management, Data Analysis, Mergers & Acquisitions",3 - 6 Months,John Rofrano,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/devops-and-software-engineering
Introduction to Data Science,IBM,Beginner,4.6,"Summary:
This course covers the concepts of data science and machine learning, their applications and use cases, and the various types of tasks performed by data scientists. Students will gain hands-on familiarity with common data science tools such as JupyterLab, R Studio, GitHub, and Watson Studio. They will also develop the mindset to work like a data scientist and follow a methodology to tackle different types of data science problems. Additionally, students will learn how to write SQL statements and query Cloud databases using Python from Jupyter notebooks."," Data Science, Python Programming, Data Analysis, Data Management, R Programming, Computer Programming, Database Application, Database Design, Databases, Professional Development, SQL, Data Model, Machine Learning, Statistical Machine Learning, Big Data, Cloud Computing, Data Mining, Deep Learning, IBM Cloud, Regression, Writing",3 - 6 Months,Romeo Kienzler,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/introduction-data-science
IBM Full Stack Software Developer,IBM,Beginner,4.6,"Summary:
This course will help you master practical skills and tools used by full stack developers in their daily roles. You will learn how to deploy and scale applications using Cloud Native methodologies and tools such as Containers, Kubernetes, Microservices, and Serverless. Additionally, you will develop software using front-end development languages and tools like HTML, CSS, JavaScript, React, and Bootstrap. The course also includes hands-on projects and labs to build your GitHub portfolio, including a capstone project."," Cloud Computing, Cloud Applications, IBM Cloud, Cloud Infrastructure, DevOps, Cloud Platforms, Computer Programming, Javascript, Python Programming, Cloud Management, Web Development, Software Architecture, Application Development, Cloud API, Cloud-Based Integration, Software Engineering, Microarchitecture, Cloud Storage, Continuous Delivery, Continuous Integration, Full-Stack Web Development, Software As A Service, Distributed Computing Architecture, Docker (Software), Kubernetes, Software Engineering Tools, Software Testing, Programming Principles, Django (Web Framework), NoSQL, SQL, Collaboration, Computer Science, Data Analysis, Front-End Web Development, Leadership and Management, Mergers & Acquisitions, React (web framework)",3 - 6 Months,IBM Skills Network Team,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer
Key Technologies for Business,IBM,Beginner,4.7,"Summary:
This course covers key technologies driving modern businesses such as Cloud, Data, and AI. Participants will gain foundational knowledge of Cloud Computing, including Public/Private/Hybrid Clouds, IaaS/PaaS/SaaS, VMs, Cloud Storage, and Cloud Native practices like DevOps. They will also learn about Artificial Intelligence, Machine Learning, Deep Learning, Neural Networks, and their impact on society. In addition, the course will outline Data Science, including the tasks performed by Data Scientists and how Data Science is revolutionizing industries and businesses."," Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Cloud Computing, Critical Thinking, Big Data, Data Analysis, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, DevOps, Data Mining, IBM Cloud, Data Science, Regression, Writing",3 - 6 Months,Alex Aklson,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/key-technologies-for-business
Data Science Fundamentals with Python and SQL,IBM,Beginner,4.6,"Summary:
The course covers a working knowledge of Data Science Tools such as Jupyter Notebooks, R Studio, GitHub, and Watson Studio. It also includes Python programming basics covering data structures, logic, working with files, invoking APIs, and libraries such as Pandas and Numpy. Additionally, the course covers Statistical Analysis techniques including Descriptive Statistics, Data Visualization, Probability Distribution, Hypothesis Testing, and Regression. It also includes Relational Database fundamentals such as SQL query language, Select statements, sorting & filtering, database functions, and accessing multiple tables."," Python Programming, Data Analysis, General Statistics, Probability & Statistics, Basic Descriptive Statistics, Statistical Analysis, Statistical Tests, Mathematical Theory & Analysis, Statistical Programming, Computer Programming, Data Visualization, Data Science, Probability Distribution, R Programming, Data Management, Database Application, Database Design, Databases, Professional Development, SQL, Cloud Computing, IBM Cloud",3 - 6 Months,Murtaza Haider,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/data-science-fundamentals-python-sql
IBM Data Engineering,IBM,Beginner,4.6,"Summary:
This course focuses on mastering practical skills and knowledge data engineers use daily, including creating, designing, and managing relational databases like MySQL, PostgreSQL, and IBM Db2. Students will also develop an understanding of NoSQL and Big Data using MongoDB, Cassandra, Cloudant, Hadoop, Apache Spark, Spark SQL, Spark ML, and Spark Streaming. Additionally, they will learn to implement ETL and Data Pipelines with tools like Bash, Airflow, and Kafka, as well as architect, populate, and deploy Data Warehouses, and create BI reports and interactive dashboards."," Data Management, Databases, Database Administration, Extract, Transform, Load, Big Data, SQL, Python Programming, Apache, Database Design, Distributed Computing Architecture, Data Architecture, Database Application, NoSQL, Data Structures, Data Model, Data Warehousing, Cloud Computing, Database Theory, Data Engineering, Data Visualization, Computer Programming, IBM Cloud, Data Mining, Machine Learning, Data Analysis, Leadership and Management, Process Analysis, Kubernetes, Professional Development, System Programming, PostgreSQL, Operational Analysis, Business Intelligence, Data Visualization Software, Linux, Network Security, Statistical Programming, Data Science",3 - 6 Months,IBM Skills Network Team,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/ibm-data-engineer
IBM & Darden Digital Strategy,University of Virginia Darden School Foundation,Beginner,4.7,Summary: The course aims to help students understand the importance of data and how advancements in technologies like artificial intelligence and cloud computing are reshaping the business world.," Business Analysis, Business Transformation, Strategy, Data Analysis, Cloud Computing, Strategy and Operations, Applied Machine Learning, Big Data, Data Visualization, Deep Learning, Entrepreneurship, Leadership and Management, Research and Design, Algorithms, Artificial Neural Networks, Computer Vision, Human Learning, Innovation, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Marketing, Sales, Critical Thinking, Data Structures, Market Analysis, Business Design, Business Development, Customer Analysis, Product Strategy, Data Management, Data Mining, Databases, Python Programming, SQL, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, Data Science, DevOps, IBM Cloud, NoSQL, Microsoft Excel",3 - 6 Months,Michael Lenox,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/digital-strategy
Data Engineering Foundations,IBM,Beginner,4.6,"Summary:
This course covers the working knowledge of Data Engineering Ecosystem and Lifecycle, along with viewpoints and tips from Data professionals on starting a career in this domain. It also includes Python programming basics such as data structures, logic, working with files, invoking APIs, using libraries like Pandas and Numpy, and performing ETL. Additionally, relational database fundamentals are covered, including Database Design, Creating Schemas, Tables, Constraints, and working with MySQL, PostgreSQL & IBM Db2. The course also covers SQL query language, SELECT, INSERT, UPDATE, DELETE statements, database functions, stored procs, working with multiple tables, JOINs, & transactions."," Data Management, Python Programming, Databases, Data Structures, Data Engineering, Database Application, SQL, Database Administration, Database Design, Extract, Transform, Load, Computer Programming, Data Architecture, Database Theory, Data Mining, Data Model, Data Analysis, Leadership and Management, Professional Development, Data Warehousing, PostgreSQL, Big Data, IBM Cloud, Network Security, NoSQL, Cloud Computing, Data Science",3 - 6 Months,Abhishek Gagneja,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/data-engineering-foundations
Applied Data Science,IBM,Beginner,4.6,"Summary:
This course focuses on developing a solid understanding of Python fundamentals and gaining practical Python skills for data analysis. Students will learn to effectively communicate data insights through visualizations and apply data science techniques and tools in a project demonstration."," Python Programming, Data Analysis, Machine Learning, Algorithms, Computer Programming, Data Science, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Regression",3 - 6 Months,Dr. Pooja,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/applied-data-science
IBM AI Foundations for Business,IBM ,Beginner,4.7,"Summary:
The course covers a variety of topics including Artificial Intelligence (AI), Data Science, Leadership, Information Technology (IT) Architecture, and Data Architecture."," Machine Learning, Machine Learning Algorithms, Data Analysis, Deep Learning, Applied Machine Learning, Data Management, Leadership and Management, Algorithms, Artificial Neural Networks, Computer Vision, Human Learning, Machine Learning Software, Business Process Management, Data Architecture, Strategy and Operations, Critical Thinking, Business Transformation, Strategy, Big Data, Innovation, Data Mining, Data Science, Regression, Writing",3 - 6 Months,Alex Aklson,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/ibm-ai-foundations-for-business
IBM Back-End Development,IBM,Beginner,4.6,"Summary:
This course is designed to help individuals master practical skills and knowledge used by back-end developers in their daily roles. Students will learn to deploy and scale applications using tools such as Docker, Kubernetes, microservices, and serverless functions. They will also write back-end applications with object-oriented programming languages like server-side Python, while utilizing version control and package managers. Additionally, students will be taught continuous integration/continuous development (CI/CD) and monitoring methodologies to automate the software development life cycle."," Software Engineering, Application Development, Software Architecture, Computer Programming, Python Programming, Software Engineering Tools, Cloud Applications, DevOps, Security Engineering, Cloud Computing, Programming Principles, Cloud Infrastructure, Cloud-Based Integration, Microarchitecture, Agile Software Development, Communication, IBM Cloud, Kubernetes, Software Security, Systems Design, Distributed Computing Architecture, Software Testing, Docker (Software), Linux, User Experience Design, Web Development, Collaboration, Leadership and Management, Data Analysis, Django (Web Framework), Mergers & Acquisitions, SQL",3 - 6 Months,John Rofrano,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/ibm-backend-development
IBM Data Analytics with Excel and R,IBM,Beginner,4.7,"Summary:
This course helps individuals master the practical skills and knowledge data analysts use daily. Participants will learn data analysis techniques such as data preparation, statistical analysis, and predictive modeling using tools like R, R Studio, and Jupyter. Additionally, they will utilize Excel spreadsheets for tasks like data wrangling and creating charts, and communicate their findings through data visualization techniques including charts, plots, and interactive dashboards with tools like Cognos and R Shiny."," Data Analysis, R Programming, Computer Programming, Data Visualization, Data Management, Statistical Programming, Databases, Exploratory Data Analysis, Plot (Graphics), Data Analysis Software, Data Structures, Statistical Analysis, Statistical Visualization, Basic Descriptive Statistics, Microsoft Excel, SQL, General Statistics, Interactive Data Visualization, Database Application, Extract, Transform, Load, Visualization (Computer Graphics), Spreadsheet Software, Database Design, Database Theory, Programming Principles, Database Administration, Computer Programming Tools, Correlation And Dependence, Data Mining, Data Visualization Software, Statistical Machine Learning, Visual Design, Business Analysis, Statistical Tests, Python Programming, Big Data, Data Science, NoSQL",3 - 6 Months,IBM Skills Network Team,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/ibm-data-analyst-r-excel
Data Analysis and Visualization Foundations,IBM,Beginner,4.7,"Summary:
This course covers the data ecosystem, tasks performed by Data Analysts, and the skills and tools required for successful data analysis. Students will learn the basic functionality of spreadsheets and how to use Excel for data wrangling and data mining. Various types of charts and plots will be explored and created in Excel, along with working with Cognos Analytics to generate interactive dashboards."," Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Plot (Graphics), Business Analysis, Data Management, Data Structures, Databases, Python Programming, SQL, Statistical Visualization, Big Data, Data Mining, Data Science, Interactive Data Visualization, NoSQL, Data Visualization Software",3 - 6 Months,IBM Skills Network Team,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/data-analysis-visualization-foundations
Deep Learning,DeepLearning.AI,Intermediate,4.8,"Summary:
The course covers building and training deep neural networks, identifying key architecture parameters, implementing vectorized neural networks and deep learning to applications, analyzing variance for DL applications, using standard techniques and optimization algorithms, and building neural networks in TensorFlow. Additionally, students will learn to build a CNN for detection and recognition tasks, use neural style transfer for art generation, apply algorithms to image and video data, work with RNNs for NLP and Word Embeddings, and use HuggingFace tokenizers and transformer models for NER and Question Answering."," Machine Learning, Deep Learning, Artificial Neural Networks, Machine Learning Algorithms, Applied Machine Learning, Python Programming, Machine Learning Software, Network Model, Algorithms, Computer Programming, Computer Vision, Network Architecture, Natural Language Processing, Tensorflow, Human Learning, Data Analysis, Exploratory Data Analysis, Organizational Development, Strategy, Computational Logic, Mathematics, Mathematical Theory & Analysis, Linear Algebra, Regression, Calculus",3 - 6 Months,Andrew Ng,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/deep-learning
Applied Software Engineering Fundamentals,IBM,Beginner,4.6,"Summary:
This course covers software development and related technologies, deployment architectures, and career options in the field. It also includes explanations on the role of version control and collaborative coding in SDLC & DevOps, as well as creating GitHub repositories and using Git commands. Additionally, students will learn commonly used Linux commands, shell scripting using BASH, and scheduling jobs using Cron. Finally, the course will teach how to create, package, and deploy Python applications using programming constructs, libraries, APIs, and web services."," Software Engineering, Computer Programming, Python Programming, Software Engineering Tools, Application Development, Programming Principles, Software Architecture, Agile Software Development, Communication, Software Testing, Systems Design, User Experience Design, Collaboration, Leadership and Management, Linux, Data Analysis, Mergers & Acquisitions",3 - 6 Months,Abhishek Gagneja,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/software-engineering-fundamentals
AI Foundations for Everyone,IBM,Beginner,4.7,"Summary:
The course covers topics such as Artificial Intelligence (AI), ChatGPT, Large Language Models (LLM), Natural Language Generation, Generative AI, Data Science, Machine Learning, Deep Learning, Jobs, Prompt Engineering, and prompt patterns."," Human Learning, Machine Learning, Artificial Neural Networks, Deep Learning, Machine Learning Algorithms, Computer Vision, Human Computer Interaction, Natural Language Processing, Algorithms, Applied Machine Learning, Cloud Computing, IBM Cloud, Machine Learning Software, Critical Thinking, Computer Programming, Data Science",3 - 6 Months,Rav Ahuja,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/ai-foundations-for-everyone
IBM AI Product Manager,SkillUp EdTech,Beginner,4.7,"Summary:
This course focuses on applying key product management skills, tools, and techniques to engage and manage stakeholders and clients. Participants will develop a working knowledge of Agile and adaptive methodologies to expedite product solutions to market. Real-world case studies will be evaluated to showcase successful integration of AI into product management systems. Participants will also learn the skills and tools required to be a successful AI Product Manager."," Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Critical Thinking, Natural Language Processing, Communication, Data Science, Leadership Development, Leadership and Management, Product Development, Product Lifecycle, Product Management",3 - 6 Months,Daniel C. Yeomans,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/ibm-ai-product-manager
Prompt Engineering,Vanderbilt University,Beginner,4.8,"Summary:
The course titled ""Prompt Engineering"" covers topics such as ChatGPT, Generative AI, and Advanced Data Analysis. It explores the use of ChatGPT for generating text and analyzing data."," Creativity, Data Analysis, Problem Solving, Risk Management, Writing",3 - 6 Months,Dr. Jules White,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/prompt-engineering
Cloud Application Development Foundations,IBM,Beginner,4.6,"Summary:
This course covers defining cloud computing and explaining its essential characteristics, models, benefits, infrastructure, and emerging trends. Students will learn to create a cloud account, develop front-end applications using HTML, CSS, Javascript, and React, and program back-end applications using Node.js and NoSQL databases. They will also learn to build and deploy applications using Cloud Native methodologies, CI/CD toolchains, and create a portfolio using GitHub."," Cloud Computing, Cloud Applications, IBM Cloud, Javascript, Cloud Infrastructure, Cloud Platforms, DevOps, Cloud Management, Computer Programming, Web Development, Cloud API, Continuous Integration, Cloud Storage, Software As A Service, Continuous Delivery, Programming Principles, NoSQL, Computer Science, Front-End Web Development, React (web framework)",3 - 6 Months,IBM Skills Network Team,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/ibm-cloud-application-development-foundations
Google Advanced Data Analytics,Google,Advanced,4.7,"Summary:
The course explores the roles of data professionals within an organization, teaches how to create data visualizations and apply statistical methods for data investigation, emphasizes on building regression and machine learning models for data analysis and interpretation, and focuses on effectively communicating insights from data analysis to stakeholders."," Communication, Computer Programming, Data Analysis, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning, Planning, Probability Distribution, Project Management, Python Programming, Regression, Statistical Analysis, Tableau Software",3 - 6 Months,Google Career Certificates,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/google-advanced-data-analytics
IBM Business Intelligence (BI) Analyst,SkillUp EdTech,Beginner,4.7,"Summary:
This course focuses on building skills in SQL queries, relational databases, data gathering and cleaning, data warehousing, data analysis, and reporting techniques. Participants will also learn to apply statistical analysis methods using tools such as Tableau, Excel, Cognos, and Looker to identify trends, create visualizations, and build dashboards. The course emphasizes generating valuable insights through data warehousing, profiling, and evaluation for informed decision-making and process improvement. Additionally, participants will learn to utilize BI analytics to consult with stakeholders, define goals, implement strategies, and develop effective projects for a rewarding career in Business Intelligence."," Data Management, Data Visualization, Databases, SQL, Database Administration, Database Application, Database Design, Microsoft Excel, Data Structures, Python Programming, Data Analysis, Data Architecture, Database Theory, Spreadsheet Software, Plot (Graphics), Computer Programming, Data Model, Data Warehousing, General Statistics, Mathematical Theory & Analysis, Basic Descriptive Statistics, Probability & Statistics, Statistical Analysis, Statistical Tests, NoSQL, PostgreSQL, Professional Development, Statistical Visualization, Business Analysis, Data Visualization Software, Data Mining, Data Science, Interactive Data Visualization, R Programming, Tableau Software, Business Intelligence, Forecasting",3 - 6 Months,Dr. Pooja,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/bi-analyst
Generative AI with Large Language Models,DeepLearning.AI,Intermediate,4.8,"Summary:
This course offers foundational knowledge, practical skills, and a functional understanding of how generative AI works. Participants will also delve into the latest research on Gen AI to understand how companies are creating value with cutting-edge technology. The course includes instruction from expert AWS AI practitioners who actively build and deploy AI in business use-cases today."," Machine Learning, Natural Language Processing, Python Programming",3 - 6 Months,check out the website in given url for more information,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/learn/generative-ai-with-llms
Microsoft Power BI Data Analyst,Microsoft,Beginner,4.6,"Summary:
This course teaches participants how to use Power BI to connect to data sources, transform data into meaningful insights, and prepare Excel data for analysis using common formulas and functions. Participants will also learn to create compelling reports and dashboards using Power BI's visualization and report capabilities. The course includes a capstone project and preparation for the Microsoft PL-300 Certification exam."," Data Analysis, Data Management, Data Mining, Data Model, Data Visualization, Extract, Transform, Load, Microsoft Excel, Power BI, SQL",3 - 6 Months, Microsoft,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst
