Title,Organization,short summary,Skills,Completion Time,Instructor,Ratings,Cost,Level,Link
IBM DevOps and Software Engineering,IBM,"Develop  a DevOps mindset, practice Agile philosophy & Scrum methodology -  essential to succeed in the era of Cloud Native Software Engineering. Build applications composed of microservices and deploy using containers (e.g. Docker, Kubernetes, and OpenShift) & serverless technologies."," DevOps, Software Engineering, Cloud Computing, Computer Programming, Application Development, Software Architecture, Cloud Applications, Continuous Delivery, Continuous Integration, Python Programming, Software Engineering Tools, Software Testing, Agile Software Development, Security Engineering, Cloud Infrastructure, Kubernetes, Programming Principles, Cloud-Based Integration, Microarchitecture, Cloud Platforms, Communication, IBM Cloud, Scrum (Software Development), Software Security, Systems Design, Distributed Computing Architecture, Cloud Storage, Docker (Software), Linux, User Experience Design, Collaboration, Leadership and Management, Data Analysis, Mergers & Acquisitions",3 - 6 Months,John Rofrano,4.6,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/professional-certificates/devops-and-software-engineering
Introduction to Data Science,IBM,"Describe what data science and machine learning are, their applications & use cases, and various types of tasks performed by data scientists  ,Describe what data science and machine learning are, their applications & use cases, and various types of tasks performed by data scientists  ,,,Gain hands-on familiarity with common data science tools including JupyterLab, R Studio, GitHub and Watson Studio ,Gain hands-on familiarity with common data science tools including JupyterLab, R Studio, GitHub and Watson Studio ,,,Develop the mindset to work like a data scientist, and follow a methodology to tackle different types of data science problems,Develop the mindset to work like a data scientist, and follow a methodology to tackle different types of data science problems,,,Write SQL statements and query Cloud databases using Python from Jupyter notebooks,Write SQL statements and query Cloud databases using Python from Jupyter notebooks,,,"," Data Science, Python Programming, Data Analysis, Data Management, R Programming, Computer Programming, Database Application, Database Design, Databases, Professional Development, SQL, Data Model, Machine Learning, Statistical Machine Learning, Big Data, Cloud Computing, Data Mining, Deep Learning, IBM Cloud, Regression, Writing",3 - 6 Months,Romeo Kienzler,4.6,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/introduction-data-science
IBM Full Stack Software Developer,IBM,"Master the most up-to-date practical skills and tools that full stack developers use in their daily roles,Master the most up-to-date practical skills and tools that full stack developers use in their daily roles,Learn how to deploy and scale applications using Cloud Native methodologies and tools such as Containers, Kubernetes, Microservices, and Serverless,Learn how to deploy and scale applications using Cloud Native methodologies and tools such as Containers, Kubernetes, Microservices, and Serverless,Develop software with front-end development languages and tools such as HTML, CSS, JavaScript, React, and Bootstrap,Develop software with front-end development languages and tools such as HTML, CSS, JavaScript, React, and Bootstrap,Build your GitHub portfolio by applying your skills to multiple labs and hands-on projects, including a capstone,Build your GitHub portfolio by applying your skills to multiple labs and hands-on projects, including a capstone,"," Cloud Computing, Cloud Applications, IBM Cloud, Cloud Infrastructure, DevOps, Cloud Platforms, Computer Programming, Javascript, Python Programming, Cloud Management, Web Development, Software Architecture, Application Development, Cloud API, Cloud-Based Integration, Software Engineering, Microarchitecture, Cloud Storage, Continuous Delivery, Continuous Integration, Full-Stack Web Development, Software As A Service, Distributed Computing Architecture, Docker (Software), Kubernetes, Software Engineering Tools, Software Testing, Programming Principles, Django (Web Framework), NoSQL, SQL, Collaboration, Computer Science, Data Analysis, Front-End Web Development, Leadership and Management, Mergers & Acquisitions, React (web framework)",3 - 6 Months,IBM Skills Network Team,4.6,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer
Key Technologies for Business,IBM,"Understand key technologies driving modern businesses and have meaningful conversations around Cloud, Data and AI, and related buzzwords. Gain Foundational Knowledge of Cloud Computing, Public/Private/Hybrid Clouds. Describe Artificial Intelligence, Machine Learning, Deep Learning, Neural Networks, their impact on society, and our future in an AI enabled world. Outline what is Data Science, tasks that a Data Scientist performs."," Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Cloud Computing, Critical Thinking, Big Data, Data Analysis, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, DevOps, Data Mining, IBM Cloud, Data Science, Regression, Writing",3 - 6 Months,Alex Aklson,4.7,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/key-technologies-for-business
Data Science Fundamentals with Python and SQL,IBM,"Working knowledge of Data Science Tools such as Jupyter Notebooks, R Studio, GitHub, Watson Studio. Python programming basics including data structures, logic, working with files, invoking APIs, and libraries such as Pandas and Numpy.Statistical Analysis techniques including  Descriptive Statistics, Data Visualization, Probability Distribution, Hypothesis Testing and Regression."," Python Programming, Data Analysis, General Statistics, Probability & Statistics, Basic Descriptive Statistics, Statistical Analysis, Statistical Tests, Mathematical Theory & Analysis, Statistical Programming, Computer Programming, Data Visualization, Data Science, Probability Distribution, R Programming, Data Management, Database Application, Database Design, Databases, Professional Development, SQL, Cloud Computing, IBM Cloud",3 - 6 Months,Murtaza Haider,4.6,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/data-science-fundamentals-python-sql
IBM Data Engineering,IBM,"Master the most up-to-date practical skills and knowledge data engineers use in their daily roles. Learn to create, design, & manage relational databases & apply database administration (DBA) concepts to RDBMSs. Develop working knowledge of NoSQL & Big Data using MongoDB, Cassandra, Cloudant, Hadoop, Apache Spark, Spark SQL, Spark ML, and Spark Streaming."," Data Management, Databases, Database Administration, Extract, Transform, Load, Big Data, SQL, Python Programming, Apache, Database Design, Distributed Computing Architecture, Data Architecture, Database Application, NoSQL, Data Structures, Data Model, Data Warehousing, Cloud Computing, Database Theory, Data Engineering, Data Visualization, Computer Programming, IBM Cloud, Data Mining, Machine Learning, Data Analysis, Leadership and Management, Process Analysis, Kubernetes, Professional Development, System Programming, PostgreSQL, Operational Analysis, Business Intelligence, Data Visualization Software, Linux, Network Security, Statistical Programming, Data Science",3 - 6 Months,IBM Skills Network Team,4.6,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/professional-certificates/ibm-data-engineer
IBM & Darden Digital Strategy,University of Virginia Darden School Foundation,"Understand the value of data and how the rapid growth of technologies such as artificial intelligence and cloud computing are transforming business. ,Understand the value of data and how the rapid growth of technologies such as artificial intelligence and cloud computing are transforming business. ,"," Business Analysis, Business Transformation, Strategy, Data Analysis, Cloud Computing, Strategy and Operations, Applied Machine Learning, Big Data, Data Visualization, Deep Learning, Entrepreneurship, Leadership and Management, Research and Design, Algorithms, Artificial Neural Networks, Computer Vision, Human Learning, Innovation, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Marketing, Sales, Critical Thinking, Data Structures, Market Analysis, Business Design, Business Development, Customer Analysis, Product Strategy, Data Management, Data Mining, Databases, Python Programming, SQL, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, Data Science, DevOps, IBM Cloud, NoSQL, Microsoft Excel",3 - 6 Months,Michael Lenox,4.7,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/digital-strategy
Data Engineering Foundations,IBM,"Python programming basics including data structures, logic, working with files, invoking APIs, using libraries such as Pandas and Numpy, doing ETL. Relational Database fundamentals including Database Design, Creating Schemas, Tables, Constraints. Working knowledge of Data Engineering Ecosystem and Lifecycle."," Data Management, Python Programming, Databases, Data Structures, Data Engineering, Database Application, SQL, Database Administration, Database Design, Extract, Transform, Load, Computer Programming, Data Architecture, Database Theory, Data Mining, Data Model, Data Analysis, Leadership and Management, Professional Development, Data Warehousing, PostgreSQL, Big Data, IBM Cloud, Network Security, NoSQL, Cloud Computing, Data Science",3 - 6 Months,Abhishek Gagneja,4.6,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/data-engineering-foundations
Applied Data Science,IBM,"Develop an understanding of Python fundamentals,Develop an understanding of Python fundamentals,,,Gain practical Python skills and apply them to data analysis,Gain practical Python skills and apply them to data analysis,,,Communicate data insights effectively through data visualizations,Communicate data insights effectively through data visualizations,,,Create a project demonstrating your understanding of applied data science techniques and tools,Create a project demonstrating your understanding of applied data science techniques and tools,,,"," Python Programming, Data Analysis, Machine Learning, Algorithms, Computer Programming, Data Science, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Regression",3 - 6 Months,Dr. Pooja,4.6,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/applied-data-science
IBM AI Foundations for Business,IBM ,"Artificial Intelligence (AI),Data Science,Leadership,Information Technology (IT) Architecture,Data Architecture,"," Machine Learning, Machine Learning Algorithms, Data Analysis, Deep Learning, Applied Machine Learning, Data Management, Leadership and Management, Algorithms, Artificial Neural Networks, Computer Vision, Human Learning, Machine Learning Software, Business Process Management, Data Architecture, Strategy and Operations, Critical Thinking, Business Transformation, Strategy, Big Data, Innovation, Data Mining, Data Science, Regression, Writing",3 - 6 Months,Alex Aklson,4.7,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/ibm-ai-foundations-for-business
IBM Back-End Development,IBM,"Learn to deploy and scale applications using methodologies and tools, Docker, Kubernetes, microservices, and serverless functions. Write back-end applications with object-oriented programming languages including server-side Python while using version control and package managers. Employ continuous integration / continuous development and monitoring methodologies to facilitate software development life-cycle automation."," Software Engineering, Application Development, Software Architecture, Computer Programming, Python Programming, Software Engineering Tools, Cloud Applications, DevOps, Security Engineering, Cloud Computing, Programming Principles, Cloud Infrastructure, Cloud-Based Integration, Microarchitecture, Agile Software Development, Communication, IBM Cloud, Kubernetes, Software Security, Systems Design, Distributed Computing Architecture, Software Testing, Docker (Software), Linux, User Experience Design, Web Development, Collaboration, Leadership and Management, Data Analysis, Django (Web Framework), Mergers & Acquisitions, SQL",3 - 6 Months,John Rofrano,4.6,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/professional-certificates/ibm-backend-development
IBM Data Analytics with Excel and R,IBM,"Master the most up-to-date practical skills and knowledge data analysts use in their daily roles. Learn how to perform data analysis, including data preparation, statistical analysis, and predictive modeling using R, R Studio, and Jupyter. Utilize Excel spreadsheets to perform a variety of data analysis tasks like data wrangling, using pivot tables, data mining, & creating charts."," Data Analysis, R Programming, Computer Programming, Data Visualization, Data Management, Statistical Programming, Databases, Exploratory Data Analysis, Plot (Graphics), Data Analysis Software, Data Structures, Statistical Analysis, Statistical Visualization, Basic Descriptive Statistics, Microsoft Excel, SQL, General Statistics, Interactive Data Visualization, Database Application, Extract, Transform, Load, Visualization (Computer Graphics), Spreadsheet Software, Database Design, Database Theory, Programming Principles, Database Administration, Computer Programming Tools, Correlation And Dependence, Data Mining, Data Visualization Software, Statistical Machine Learning, Visual Design, Business Analysis, Statistical Tests, Python Programming, Big Data, Data Science, NoSQL",3 - 6 Months,IBM Skills Network Team,4.7,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/professional-certificates/ibm-data-analyst-r-excel
Data Analysis and Visualization Foundations,IBM,"Describe the data ecosystem, tasks a Data Analyst performs, as well as skills and tools required for successful data analysis,Describe the data ecosystem, tasks a Data Analyst performs, as well as skills and tools required for successful data analysis,Explain basic functionality of spreadsheets and utilize Excel to perform a variety of data analysis tasks like data wrangling and data mining,Explain basic functionality of spreadsheets and utilize Excel to perform a variety of data analysis tasks like data wrangling and data mining,List various types of charts and plots and create them in Excel as well as work with Cognos Analytics to generate interactive dashboards,List various types of charts and plots and create them in Excel as well as work with Cognos Analytics to generate interactive dashboards,"," Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Plot (Graphics), Business Analysis, Data Management, Data Structures, Databases, Python Programming, SQL, Statistical Visualization, Big Data, Data Mining, Data Science, Interactive Data Visualization, NoSQL, Data Visualization Software",3 - 6 Months,IBM Skills Network Team,4.7,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/data-analysis-visualization-foundations
Deep Learning,DeepLearning.AI,"Build and train deep neural networks, identify key architecture parameters, implement vectorized neural networks and deep learning to applications. Train test sets, analyze variance for DL applications, use standard techniques and optimization algorithms, and build neural networks in TensorFlow. Build a CNN and apply it to detection and recognition tasks, use neural style transfer to generate art, and apply algorithms to image and video data."," Machine Learning, Deep Learning, Artificial Neural Networks, Machine Learning Algorithms, Applied Machine Learning, Python Programming, Machine Learning Software, Network Model, Algorithms, Computer Programming, Computer Vision, Network Architecture, Natural Language Processing, Tensorflow, Human Learning, Data Analysis, Exploratory Data Analysis, Organizational Development, Strategy, Computational Logic, Mathematics, Mathematical Theory & Analysis, Linear Algebra, Regression, Calculus",3 - 6 Months,Andrew Ng,4.8,FREE-If you want to add a Verified Certificate check out the price in the website,Intermediate,https://www.coursera.org/specializations/deep-learning
Applied Software Engineering Fundamentals,IBM,"Explain the role of version control and collaborative coding in SDLC & DevOps. Create GitHub repositories and use branching with Git commands. List and execute commonly used Linux commands, utilize pipes and redirection. Create, package, and deploy Python applications using knowledge of programming constructs, libraries, APIs and web services."," Software Engineering, Computer Programming, Python Programming, Software Engineering Tools, Application Development, Programming Principles, Software Architecture, Agile Software Development, Communication, Software Testing, Systems Design, User Experience Design, Collaboration, Leadership and Management, Linux, Data Analysis, Mergers & Acquisitions",3 - 6 Months,Abhishek Gagneja,4.6,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/software-engineering-fundamentals
AI Foundations for Everyone,IBM,"Artificial Intelligence (AI),ChatGPT,Large Language Models (LLM),Natural Language Generation,Generative AI,Data Science,Machine Learning,Deep Learning,Jobs,Prompt Engineering,prompt patterns,"," Human Learning, Machine Learning, Artificial Neural Networks, Deep Learning, Machine Learning Algorithms, Computer Vision, Human Computer Interaction, Natural Language Processing, Algorithms, Applied Machine Learning, Cloud Computing, IBM Cloud, Machine Learning Software, Critical Thinking, Computer Programming, Data Science",3 - 6 Months,Rav Ahuja,4.7,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/ai-foundations-for-everyone
IBM AI Product Manager,SkillUp EdTech,"Apply key product management skills, tools, and techniques to engage and manage key stakeholders and clients,Apply key product management skills, tools, and techniques to engage and manage key stakeholders and clients,Develop a working knowledge of Agile and adaptive methodologies used to expedite product solutions to market,Develop a working knowledge of Agile and adaptive methodologies used to expedite product solutions to market,Evaluate real-world case studies showcasing the successful integration of AI into existing product management systems,Evaluate real-world case studies showcasing the successful integration of AI into existing product management systems,Demonstrate the skills and tools knowledge required to be a successful AI Product Manager,Demonstrate the skills and tools knowledge required to be a successful AI Product Manager,"," Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Critical Thinking, Natural Language Processing, Communication, Data Science, Leadership Development, Leadership and Management, Product Development, Product Lifecycle, Product Management",3 - 6 Months,Daniel C. Yeomans,4.7,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/professional-certificates/ibm-ai-product-manager
Prompt Engineering,Vanderbilt University,"Prompt Engineering,ChatGPT,Generative AI,ChatGPT Advanced Data Analysis,"," Creativity, Data Analysis, Problem Solving, Risk Management, Writing",3 - 6 Months,Dr. Jules White,4.8,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/prompt-engineering
Cloud Application Development Foundations,IBM,"Define cloud computing and explain its essential characteristics, models, benefits, infrastructure, & emerging trends. Create a cloud account,Define cloud computing and explain its essential characteristics, models, benefits, infrastructure, & emerging trends. Create a cloud account,Develop with front-end development languages and tools such as HTML, CSS, Javascript and React  ,Develop with front-end development languages and tools such as HTML, CSS, Javascript and React  ,Program applications with back-end development languages and tools such as Node.js  and NoSQL databases,Program applications with back-end development languages and tools such as Node.js  and NoSQL databases,Build and deploy applications using Cloud Native methodologies and tools, CI/CD toolchains, and build your portfolio using GitHub,Build and deploy applications using Cloud Native methodologies and tools, CI/CD toolchains, and build your portfolio using GitHub,"," Cloud Computing, Cloud Applications, IBM Cloud, Javascript, Cloud Infrastructure, Cloud Platforms, DevOps, Cloud Management, Computer Programming, Web Development, Cloud API, Continuous Integration, Cloud Storage, Software As A Service, Continuous Delivery, Programming Principles, NoSQL, Computer Science, Front-End Web Development, React (web framework)",3 - 6 Months,IBM Skills Network Team,4.6,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/ibm-cloud-application-development-foundations
Google Advanced Data Analytics,Google,"Explore the roles of data professionals within an organization ,Explore the roles of data professionals within an organization ,Create data visualizations and apply statistical methods to investigate data,Create data visualizations and apply statistical methods to investigate data,Build regression and machine learning models to analyze and interpret data,Build regression and machine learning models to analyze and interpret data,Communicate insights from data analysis to stakeholders,Communicate insights from data analysis to stakeholders,"," Communication, Computer Programming, Data Analysis, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning, Planning, Probability Distribution, Project Management, Python Programming, Regression, Statistical Analysis, Tableau Software",3 - 6 Months,Google Career Certificates,4.7,FREE-If you want to add a Verified Certificate check out the price in the website,Advanced,https://www.coursera.org/professional-certificates/google-advanced-data-analytics
IBM Business Intelligence (BI) Analyst,SkillUp EdTech,"Build skills in SQL queries, relational databases, data gathering and cleaning, data warehousing, data analysis and reporting techniques. Apply statistical analysis methods to identify trends, create visualizations, and build dashboards using Tableau, Excel, Cognos, and Looker."," Data Management, Data Visualization, Databases, SQL, Database Administration, Database Application, Database Design, Microsoft Excel, Data Structures, Python Programming, Data Analysis, Data Architecture, Database Theory, Spreadsheet Software, Plot (Graphics), Computer Programming, Data Model, Data Warehousing, General Statistics, Mathematical Theory & Analysis, Basic Descriptive Statistics, Probability & Statistics, Statistical Analysis, Statistical Tests, NoSQL, PostgreSQL, Professional Development, Statistical Visualization, Business Analysis, Data Visualization Software, Data Mining, Data Science, Interactive Data Visualization, R Programming, Tableau Software, Business Intelligence, Forecasting",3 - 6 Months,Dr. Pooja,4.7,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/professional-certificates/bi-analyst
