Title,Link,Organization,Instructor,Skills,Ratings,Review counts,Cost,Enrolled,Level,Cerification,Completion Time,,Decription
IBM DevOps and Software Engineering,https://www.coursera.org/professional-certificates/devops-and-software-engineering,IBM,John Rofrano," DevOps, Software Engineering, Cloud Computing, Computer Programming, Application Development, Software Architecture, Cloud Applications, Continuous Delivery, Continuous Integration, Python Programming, Software Engineering Tools, Software Testing, Agile Software Development, Security Engineering, Cloud Infrastructure, Kubernetes, Programming Principles, Cloud-Based Integration, Microarchitecture, Cloud Platforms, Communication, IBM Cloud, Scrum (Software Development), Software Security, Systems Design, Distributed Computing Architecture, Cloud Storage, Docker (Software), Linux, User Experience Design, Collaboration, Leadership and Management, Data Analysis, Mergers & Acquisitions",4.6,3054,Free,15370,Beginner,Professional Certificate,3 - 6 Months,,"Develop  a DevOps mindset, practice Agile philosophy & Scrum methodology -  essential to succeed in the era of Cloud Native Software Engineering,Develop  a DevOps mindset, practice Agile philosophy & Scrum methodology -  essential to succeed in the era of Cloud Native Software Engineering,Create applications using Python  language, using various programming constructs and logic, including functions, REST APIs, and  libraries,Create applications using Python  language, using various programming constructs and logic, including functions, REST APIs, and  libraries,Build applications composed of microservices and deploy using containers (e.g. Docker, Kubernetes, and OpenShift) & serverless technologies,Build applications composed of microservices and deploy using containers (e.g. Docker, Kubernetes, and OpenShift) & serverless technologies,Employ tools for automation, continuous integration (CI) and continuous deployment (CD) including Chef, Puppet, GitHub Actions, Tekton and  Travis. ,Employ tools for automation, continuous integration (CI) and continuous deployment (CD) including Chef, Puppet, GitHub Actions, Tekton and  Travis. ,"
Introduction to Data Science,https://www.coursera.org/specializations/introduction-data-science,IBM,Romeo Kienzler," Data Science, Python Programming, Data Analysis, Data Management, R Programming, Computer Programming, Database Application, Database Design, Databases, Professional Development, SQL, Data Model, Machine Learning, Statistical Machine Learning, Big Data, Cloud Computing, Data Mining, Deep Learning, IBM Cloud, Regression, Writing",4.6,12437,Free,86698,Beginner,Specialization,3 - 6 Months,,"Describe what data science and machine learning are, their applications & use cases, and various types of tasks performed by data scientists  ,Describe what data science and machine learning are, their applications & use cases, and various types of tasks performed by data scientists  ,,,Gain hands-on familiarity with common data science tools including JupyterLab, R Studio, GitHub and Watson Studio ,Gain hands-on familiarity with common data science tools including JupyterLab, R Studio, GitHub and Watson Studio ,,,Develop the mindset to work like a data scientist, and follow a methodology to tackle different types of data science problems,Develop the mindset to work like a data scientist, and follow a methodology to tackle different types of data science problems,,,Write SQL statements and query Cloud databases using Python from Jupyter notebooks,Write SQL statements and query Cloud databases using Python from Jupyter notebooks,,,"
IBM Full Stack Software Developer,https://www.coursera.org/professional-certificates/ibm-full-stack-cloud-developer,IBM,IBM Skills Network Team," Cloud Computing, Cloud Applications, IBM Cloud, Cloud Infrastructure, DevOps, Cloud Platforms, Computer Programming, Javascript, Python Programming, Cloud Management, Web Development, Software Architecture, Application Development, Cloud API, Cloud-Based Integration, Software Engineering, Microarchitecture, Cloud Storage, Continuous Delivery, Continuous Integration, Full-Stack Web Development, Software As A Service, Distributed Computing Architecture, Docker (Software), Kubernetes, Software Engineering Tools, Software Testing, Programming Principles, Django (Web Framework), NoSQL, SQL, Collaboration, Computer Science, Data Analysis, Front-End Web Development, Leadership and Management, Mergers & Acquisitions, React (web framework)",4.6,5549,Free,82619,Beginner,Professional Certificate,3 - 6 Months,,"Master the most up-to-date practical skills and tools that full stack developers use in their daily roles,Master the most up-to-date practical skills and tools that full stack developers use in their daily roles,Learn how to deploy and scale applications using Cloud Native methodologies and tools such as Containers, Kubernetes, Microservices, and Serverless,Learn how to deploy and scale applications using Cloud Native methodologies and tools such as Containers, Kubernetes, Microservices, and Serverless,Develop software with front-end development languages and tools such as HTML, CSS, JavaScript, React, and Bootstrap,Develop software with front-end development languages and tools such as HTML, CSS, JavaScript, React, and Bootstrap,Build your GitHub portfolio by applying your skills to multiple labs and hands-on projects, including a capstone,Build your GitHub portfolio by applying your skills to multiple labs and hands-on projects, including a capstone,"
Key Technologies for Business,https://www.coursera.org/specializations/key-technologies-for-business,IBM,Alex Aklson," Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Cloud Computing, Critical Thinking, Big Data, Data Analysis, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, DevOps, Data Mining, IBM Cloud, Data Science, Regression, Writing",4.7,1382,Free,17969,Beginner,Specialization,3 - 6 Months,,"Understand key technologies driving modern businesses and have meaningful conversations around Cloud, Data and AI, and related buzzwords,Understand key technologies driving modern businesses and have meaningful conversations around Cloud, Data and AI, and related buzzwords,Gain Foundational Knowledge of Cloud Computing, Public/Private/Hybrid Clouds, IaaS/PaaS/SaaS, VMs, Cloud Storage & Cloud Native practices like DevOps,Gain Foundational Knowledge of Cloud Computing, Public/Private/Hybrid Clouds, IaaS/PaaS/SaaS, VMs, Cloud Storage & Cloud Native practices like DevOps,Describe Artificial Intelligence, Machine Learning, Deep Learning, Neural Networks, their impact on society, and our future in an AI enabled world,Describe Artificial Intelligence, Machine Learning, Deep Learning, Neural Networks, their impact on society, and our future in an AI enabled world,Outline what is Data Science, tasks that a Data Scientist performs, and how Data Science is revolutionizing virtually all industries and businesses ,Outline what is Data Science, tasks that a Data Scientist performs, and how Data Science is revolutionizing virtually all industries and businesses ,"
Data Science Fundamentals with Python and SQL,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,IBM,Murtaza Haider," Python Programming, Data Analysis, General Statistics, Probability & Statistics, Basic Descriptive Statistics, Statistical Analysis, Statistical Tests, Mathematical Theory & Analysis, Statistical Programming, Computer Programming, Data Visualization, Data Science, Probability Distribution, R Programming, Data Management, Database Application, Database Design, Databases, Professional Development, SQL, Cloud Computing, IBM Cloud",4.6,2648,Free,42493,Beginner,Specialization,3 - 6 Months,,"Working knowledge of Data Science Tools such as Jupyter Notebooks, R Studio, GitHub, Watson Studio,Working knowledge of Data Science Tools such as Jupyter Notebooks, R Studio, GitHub, Watson Studio,Python programming basics including data structures, logic, working with files, invoking APIs, and libraries such as Pandas and Numpy,Python programming basics including data structures, logic, working with files, invoking APIs, and libraries such as Pandas and Numpy,Statistical Analysis techniques including  Descriptive Statistics, Data Visualization, Probability Distribution, Hypothesis Testing and Regression,Statistical Analysis techniques including  Descriptive Statistics, Data Visualization, Probability Distribution, Hypothesis Testing and Regression,Relational Database fundamentals including SQL query language, Select statements, sorting & filtering, database functions, accessing multiple tables,Relational Database fundamentals including SQL query language, Select statements, sorting & filtering, database functions, accessing multiple tables,"
IBM Data Engineering,https://www.coursera.org/professional-certificates/ibm-data-engineer,IBM,IBM Skills Network Team," Data Management, Databases, Database Administration, Extract, Transform, Load, Big Data, SQL, Python Programming, Apache, Database Design, Distributed Computing Architecture, Data Architecture, Database Application, NoSQL, Data Structures, Data Model, Data Warehousing, Cloud Computing, Database Theory, Data Engineering, Data Visualization, Computer Programming, IBM Cloud, Data Mining, Machine Learning, Data Analysis, Leadership and Management, Process Analysis, Kubernetes, Professional Development, System Programming, PostgreSQL, Operational Analysis, Business Intelligence, Data Visualization Software, Linux, Network Security, Statistical Programming, Data Science",4.6,4105,Free,21517,Beginner,Professional Certificate,3 - 6 Months,,"Master the most up-to-date practical skills and knowledge data engineers use in their daily roles,Master the most up-to-date practical skills and knowledge data engineers use in their daily roles,Learn to create, design, & manage relational databases & apply database administration (DBA) concepts to RDBMSs such as MySQL, PostgreSQL, & IBM Db2 ,Learn to create, design, & manage relational databases & apply database administration (DBA) concepts to RDBMSs such as MySQL, PostgreSQL, & IBM Db2 ,Develop working knowledge of NoSQL & Big Data using MongoDB, Cassandra, Cloudant, Hadoop, Apache Spark, Spark SQL, Spark ML, and Spark Streaming ,Develop working knowledge of NoSQL & Big Data using MongoDB, Cassandra, Cloudant, Hadoop, Apache Spark, Spark SQL, Spark ML, and Spark Streaming ,Implement ETL & Data Pipelines with Bash, Airflow & Kafka; architect, populate, deploy Data Warehouses; create BI reports & interactive dashboards ,Implement ETL & Data Pipelines with Bash, Airflow & Kafka; architect, populate, deploy Data Warehouses; create BI reports & interactive dashboards ,"
IBM & Darden Digital Strategy,https://www.coursera.org/specializations/digital-strategy,University of Virginia Darden School Foundation,Michael Lenox," Business Analysis, Business Transformation, Strategy, Data Analysis, Cloud Computing, Strategy and Operations, Applied Machine Learning, Big Data, Data Visualization, Deep Learning, Entrepreneurship, Leadership and Management, Research and Design, Algorithms, Artificial Neural Networks, Computer Vision, Human Learning, Innovation, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Marketing, Sales, Critical Thinking, Data Structures, Market Analysis, Business Design, Business Development, Customer Analysis, Product Strategy, Data Management, Data Mining, Databases, Python Programming, SQL, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, Data Science, DevOps, IBM Cloud, NoSQL, Microsoft Excel",4.7,340,Free,4899,Beginner,Specialization,3 - 6 Months,,"Understand the value of data and how the rapid growth of technologies such as artificial intelligence and cloud computing are transforming business. ,Understand the value of data and how the rapid growth of technologies such as artificial intelligence and cloud computing are transforming business. ,"
Data Engineering Foundations,https://www.coursera.org/specializations/data-engineering-foundations,IBM,Abhishek Gagneja," Data Management, Python Programming, Databases, Data Structures, Data Engineering, Database Application, SQL, Database Administration, Database Design, Extract, Transform, Load, Computer Programming, Data Architecture, Database Theory, Data Mining, Data Model, Data Analysis, Leadership and Management, Professional Development, Data Warehousing, PostgreSQL, Big Data, IBM Cloud, Network Security, NoSQL, Cloud Computing, Data Science",4.6,1117,Free,12791,Beginner,Specialization,3 - 6 Months,,"Working knowledge of Data Engineering Ecosystem and Lifecycle. Viewpoints and tips from Data professionals on starting a career in this domain.,Working knowledge of Data Engineering Ecosystem and Lifecycle. Viewpoints and tips from Data professionals on starting a career in this domain.,,,Python programming basics including data structures, logic, working with files, invoking APIs, using libraries such as Pandas and Numpy, doing ETL.,Python programming basics including data structures, logic, working with files, invoking APIs, using libraries such as Pandas and Numpy, doing ETL.,,,Relational Database fundamentals including Database Design, Creating Schemas, Tables, Constraints, and working with MySQL, PostgreSQL & IBM Db2.,Relational Database fundamentals including Database Design, Creating Schemas, Tables, Constraints, and working with MySQL, PostgreSQL & IBM Db2.,,,SQL query language, SELECT, INSERT, UPDATE, DELETE statements, database functions, stored procs, working with multiple tables, JOINs, & transactions.,SQL query language, SELECT, INSERT, UPDATE, DELETE statements, database functions, stored procs, working with multiple tables, JOINs, & transactions.,"
Applied Data Science,https://www.coursera.org/specializations/applied-data-science,IBM,Dr. Pooja," Python Programming, Data Analysis, Machine Learning, Algorithms, Computer Programming, Data Science, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Regression",4.6,7434,Free,16132,Beginner,Specialization,3 - 6 Months,,"Develop an understanding of Python fundamentals,Develop an understanding of Python fundamentals,,,Gain practical Python skills and apply them to data analysis,Gain practical Python skills and apply them to data analysis,,,Communicate data insights effectively through data visualizations,Communicate data insights effectively through data visualizations,,,Create a project demonstrating your understanding of applied data science techniques and tools,Create a project demonstrating your understanding of applied data science techniques and tools,,,"
IBM AI Foundations for Business,https://www.coursera.org/specializations/ibm-ai-foundations-for-business,IBM ,Alex Aklson," Machine Learning, Machine Learning Algorithms, Data Analysis, Deep Learning, Applied Machine Learning, Data Management, Leadership and Management, Algorithms, Artificial Neural Networks, Computer Vision, Human Learning, Machine Learning Software, Business Process Management, Data Architecture, Strategy and Operations, Critical Thinking, Business Transformation, Strategy, Big Data, Innovation, Data Mining, Data Science, Regression, Writing",4.7,1277,Free,14897,Beginner,Specialization,3 - 6 Months,,"Artificial Intelligence (AI),Data Science,Leadership,Information Technology (IT) Architecture,Data Architecture,"
IBM Back-End Development,https://www.coursera.org/professional-certificates/ibm-backend-development,IBM,John Rofrano," Software Engineering, Application Development, Software Architecture, Computer Programming, Python Programming, Software Engineering Tools, Cloud Applications, DevOps, Security Engineering, Cloud Computing, Programming Principles, Cloud Infrastructure, Cloud-Based Integration, Microarchitecture, Agile Software Development, Communication, IBM Cloud, Kubernetes, Software Security, Systems Design, Distributed Computing Architecture, Software Testing, Docker (Software), Linux, User Experience Design, Web Development, Collaboration, Leadership and Management, Data Analysis, Django (Web Framework), Mergers & Acquisitions, SQL",4.6,503,Free,5992,Beginner,Professional Certificate,3 - 6 Months,," Master the most up-to-date practical skills and knowledge that back-end developers use in their daily roles, Master the most up-to-date practical skills and knowledge that back-end developers use in their daily roles,Learn to deploy and scale applications using methodologies and tools, Docker, Kubernetes, microservices, and serverless functions,Learn to deploy and scale applications using methodologies and tools, Docker, Kubernetes, microservices, and serverless functions,Write back-end applications with object-oriented programming languages including server-side Python while using version control and package managers,Write back-end applications with object-oriented programming languages including server-side Python while using version control and package managers,Employ continuous integration / continuous development (CI/CD) and monitoring methodologies to facilitate software development life-cycle automation,Employ continuous integration / continuous development (CI/CD) and monitoring methodologies to facilitate software development life-cycle automation,"
IBM Data Analytics with Excel and R,https://www.coursera.org/professional-certificates/ibm-data-analyst-r-excel,IBM,IBM Skills Network Team," Data Analysis, R Programming, Computer Programming, Data Visualization, Data Management, Statistical Programming, Databases, Exploratory Data Analysis, Plot (Graphics), Data Analysis Software, Data Structures, Statistical Analysis, Statistical Visualization, Basic Descriptive Statistics, Microsoft Excel, SQL, General Statistics, Interactive Data Visualization, Database Application, Extract, Transform, Load, Visualization (Computer Graphics), Spreadsheet Software, Database Design, Database Theory, Programming Principles, Database Administration, Computer Programming Tools, Correlation And Dependence, Data Mining, Data Visualization Software, Statistical Machine Learning, Visual Design, Business Analysis, Statistical Tests, Python Programming, Big Data, Data Science, NoSQL",4.7,1981,Free,24778,Beginner,Professional Certificate,3 - 6 Months,,"Master the most up-to-date practical skills and knowledge data analysts use in their daily roles,Master the most up-to-date practical skills and knowledge data analysts use in their daily roles,Learn how to perform data analysis, including data preparation, statistical analysis, and predictive modeling using R, R Studio, and Jupyter,Learn how to perform data analysis, including data preparation, statistical analysis, and predictive modeling using R, R Studio, and Jupyter,Utilize Excel spreadsheets to perform a variety of data analysis tasks like data wrangling, using pivot tables, data mining, & creating charts,Utilize Excel spreadsheets to perform a variety of data analysis tasks like data wrangling, using pivot tables, data mining, & creating charts,Communicate your data findings using various data visualization techniques including, charts, plots & interactive dashboards with Cognos and R Shiny,Communicate your data findings using various data visualization techniques including, charts, plots & interactive dashboards with Cognos and R Shiny,"
Data Analysis and Visualization Foundations,https://www.coursera.org/specializations/data-analysis-visualization-foundations,IBM,IBM Skills Network Team," Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Plot (Graphics), Business Analysis, Data Management, Data Structures, Databases, Python Programming, SQL, Statistical Visualization, Big Data, Data Mining, Data Science, Interactive Data Visualization, NoSQL, Data Visualization Software",4.7,2476,Free,18299,Beginner,Specialization,3 - 6 Months,,"Describe the data ecosystem, tasks a Data Analyst performs, as well as skills and tools required for successful data analysis,Describe the data ecosystem, tasks a Data Analyst performs, as well as skills and tools required for successful data analysis,Explain basic functionality of spreadsheets and utilize Excel to perform a variety of data analysis tasks like data wrangling and data mining,Explain basic functionality of spreadsheets and utilize Excel to perform a variety of data analysis tasks like data wrangling and data mining,List various types of charts and plots and create them in Excel as well as work with Cognos Analytics to generate interactive dashboards,List various types of charts and plots and create them in Excel as well as work with Cognos Analytics to generate interactive dashboards,"
Deep Learning,https://www.coursera.org/specializations/deep-learning,DeepLearning.AI,Andrew Ng," Machine Learning, Deep Learning, Artificial Neural Networks, Machine Learning Algorithms, Applied Machine Learning, Python Programming, Machine Learning Software, Network Model, Algorithms, Computer Programming, Computer Vision, Network Architecture, Natural Language Processing, Tensorflow, Human Learning, Data Analysis, Exploratory Data Analysis, Organizational Development, Strategy, Computational Logic, Mathematics, Mathematical Theory & Analysis, Linear Algebra, Regression, Calculus",4.8,132994,Free,842924,Intermediate,Specialization,3 - 6 Months,,"Build and train deep neural networks, identify key architecture parameters, implement vectorized neural networks and deep learning to applications,Build and train deep neural networks, identify key architecture parameters, implement vectorized neural networks and deep learning to applications,Train test sets, analyze variance for DL applications, use standard techniques and optimization algorithms, and build neural networks in TensorFlow,Train test sets, analyze variance for DL applications, use standard techniques and optimization algorithms, and build neural networks in TensorFlow,Build a CNN and apply it to detection and recognition tasks, use neural style transfer to generate art, and apply algorithms to image and video data,Build a CNN and apply it to detection and recognition tasks, use neural style transfer to generate art, and apply algorithms to image and video data,Build and train RNNs, work with NLP and Word Embeddings, and use HuggingFace tokenizers and transformer models to perform NER and Question Answering,Build and train RNNs, work with NLP and Word Embeddings, and use HuggingFace tokenizers and transformer models to perform NER and Question Answering,"
